,likes,retweets,tweet_id
0,38116,8333,892420643555336193
1,32707,6159,892177421306343426
2,24621,4078,891815181378084864
3,41474,8471,891689557279858688
4,39645,9170,891327558926688256
5,19909,3052,891087950875897856
6,11638,2026,890971913173991426
7,64317,18506,890729181411237888
8,27353,4193,890609185150312448
9,31383,7240,890240255349198849
10,30170,7192,890006608113172480
11,27337,4881,889880896479866881
12,47313,9865,889665388333682689
13,26702,4454,889638837579907072
14,14865,2203,889531135344209921
15,24830,5268,889278841981685760
16,28625,4406,888917238123831296
17,25129,4207,888804989199671297
18,19505,3482,888554962724278272
19,21404,3423,888078434458587136
20,29674,5283,887705289381826560
21,45525,11456,887517139158093824
22,67939,17827,887473957103951883
23,33129,10206,887343217045368832
24,30082,5852,887101392804085760
25,34582,7626,886983233522544640
26,11859,3220,886736880519319552
27,22070,4378,886680336477933568
28,20843,3139,886366144734445568
30,27529,6170,886258384151887873
32,32123,6663,885984800019947520
33,35392,6314,885528943205470208
36,21573,4298,885167619883638784
37,76147,17916,884925521741709313
38,27484,5508,884876753390489601
39,23905,4610,884562892145688576
40,26548,5551,884441805382717440
42,20025,2933,884162670584377345
43,21546,3385,883838122936631299
44,45179,9760,883482846933004288
45,22318,3637,883360690899218434
46,36577,6549,883117836046086144
47,23572,3856,882992080364220416
48,27856,4829,882762694511734784
49,27475,5982,882627270321602560
50,44234,11389,882268110199369728
51,28897,4883,882045870035918850
52,23921,3337,881906580714921986
53,49799,10485,881666595344535552
55,48649,15673,881536004380872706
56,22726,5084,881268444196462592
57,16749,2739,880935762899988482
58,20935,3753,880872448815771648
59,28073,6170,880465832366813184
60,26630,4146,880221127280381952
61,27194,4283,880095782870896641
62,21972,3443,879862464715927552
64,23060,3134,879492040517615616
65,104218,43482,879415818425184262
66,16517,3067,879376492567855104
68,22204,4645,879050749262655488
69,18690,2651,879008229531029506
70,19109,4065,878776093423087618
74,7632,1269,878281511006478336
75,41399,6718,878057613040115712
76,78514,18798,877736472329191424
78,22385,3752,877556246731214848
79,26977,5099,877316821321428993
80,26731,5503,877201837425926144
81,20381,3295,876838120628539392
83,18489,2365,876484053909872640
84,27514,4629,876120275196170240
85,24840,4234,875747767867523072
86,21606,4862,875144289856114688
88,25101,4661,875021211251597312
89,27441,4588,874680097055178752
91,25710,4062,874296783580663808
92,22351,3914,874057562936811520
93,34127,10301,874012996292530176
94,23889,3904,873580283840344065
96,7143,1570,873213775632977920
97,27024,5359,872967104147763200
98,14530,3663,872820683541237760
99,20546,3662,872620804844003328
100,40209,8951,872486979161796608
101,33815,6272,872261713294495745
102,34050,8069,872122724285648897
103,37582,11092,871879754684805121
104,20061,3456,871762521631449091
105,20009,3435,871515927908634625
108,22456,3805,871032628920680449
109,33318,6179,870804317367881728
111,12302,2638,870656317836468226
112,82084,26148,870374049280663552
113,21669,4147,870308999962521604
114,36397,8335,870063196459192321
115,42125,10024,869772420881756160
116,28052,6348,869702957897576449
117,15876,3134,869596645499047938
118,20325,3788,869227993411051520
119,65305,14504,868880397819494401
121,26640,5310,868622495443632128
122,10092,2100,868552278524837888
123,24111,4191,867900495410671616
124,33900,7364,867774946302451713
125,16074,2518,867421006826221569
127,32190,7909,867051520902168576
129,19309,3509,866686824827068416
130,122172,35514,866450705531457537
131,52563,14556,866334964761202691
133,25644,5660,865718153858494464
134,26502,5044,865359393868664832
135,28045,7757,865006731092295680
136,32353,8788,864873206498414592
137,14665,3069,864279568663928832
138,30255,9033,864197398364647424
139,20684,4192,863907417377173506
140,15360,4229,863553081350529029
142,23912,5331,863432100342583297
144,8805,1117,863079547188785154
145,8572,2486,863062471531167744
146,19257,5161,862831371563274240
147,17153,3576,862722525377298433
148,20663,5036,862457590147678208
149,74928,23643,862096992088072192
150,36327,10879,861383897657036800
151,17303,4224,861288531465048066
152,16827,3863,861005113778896900
155,7571,2194,860563773140209665
156,23818,5375,860524505164394496
157,18458,3541,860276583193509888
158,16833,5954,860184849394610176
160,19720,4182,859924526012018688
161,15554,3579,859851578198683649
162,18771,1607,859607811541651456
163,90765,30863,859196978902773760
164,34240,13909,859074603037188101
166,15711,3557,858843525470990336
167,21742,4958,858471635011153920
168,15908,2984,858107933456039936
169,16319,2646,857989990357356544
170,34718,10914,857746408056729600
171,5992,1689,857393404942143489
172,20279,4645,857263160327368704
175,19206,4119,857029823797047296
177,16509,2962,856543823941562368
178,12020,1938,856526610513747968
181,28177,6517,856282028240666624
185,46209,18286,855851453814013952
